TransactionID,Amount,TransactionType,Location,IsFraud
1,46.93,Online Payment,Bangalore,0
2,301.01,Transfer,Delhi,0
3,131.67,Withdrawal,Delhi,0
4,91.29,Transfer,Chennai,0
5,16.96,Withdrawal,Delhi,0
6,16.96,Withdrawal,Delhi,0
7,5.98,Online Payment,Bangalore,0
8,201.12,POS Purchase,Mumbai,0
9,91.91,Online Payment,Mumbai,0
10,123.13,Transfer,Delhi,0
11,2.08,Online Payment,Hyderabad,0
12,350.36,Withdrawal,Delhi,0
13,178.64,Withdrawal,Chennai,0
14,23.87,Online Payment,Bangalore,0
15,20.07,Transfer,Delhi,0
16,20.26,POS Purchase,Mumbai,0
17,36.28,POS Purchase,Delhi,0
18,74.39,Withdrawal,Bangalore,0
19,56.55,POS Purchase,Bangalore,0
20,34.42,POS Purchase,Hyderabad,0
21,94.64,Transfer,Hyderabad,0
22,15.02,POS Purchase,Hyderabad,0
23,34.55,Online Payment,Delhi,0
24,45.63,Transfer,Mumbai,0
25,60.89,Online Payment,Chennai,0
26,153.79,Withdrawal,Mumbai,0
27,22.27,Transfer,Bangalore,0
28,72.2,POS Purchase,Mumbai,0
29,89.75,Transfer,Delhi,0
30,4.76,Withdrawal,Hyderabad,0
31,93.53,Online Payment,Mumbai,0
32,18.7,Withdrawal,Bangalore,0
33,6.73,Transfer,Bangalore,0
34,297.37,Online Payment,Chennai,0
35,337.06,Online Payment,Mumbai,0
36,165.23,Transfer,Delhi,0
37,36.33,Withdrawal,Bangalore,0
38,10.28,POS Purchase,Chennai,0
39,115.28,Withdrawal,Bangalore,0
40,58.01,POS Purchase,Chennai,0
41,13.02,Withdrawal,Bangalore,0
42,68.35,Transfer,Delhi,0
43,3.5,Withdrawal,Delhi,0
44,240.04,Withdrawal,Bangalore,0
45,29.95,Transfer,Hyderabad,0
46,108.63,Transfer,Delhi,0
47,37.35,Online Payment,Delhi,0
48,73.41,Withdrawal,Chennai,0
49,79.12,Transfer,Chennai,0
50,20.44,Transfer,Mumbai,0
51,349.28,Online Payment,Mumbai,0
52,149.22,Transfer,Delhi,0
53,280.51,Online Payment,Delhi,0
54,225.22,Transfer,Bangalore,0
55,91.11,Online Payment,Hyderabad,0
56,254.94,Withdrawal,Bangalore,0
57,9.27,Transfer,Delhi,0
58,21.81,Transfer,Chennai,0
59,4.63,Withdrawal,Mumbai,0
60,39.35,Withdrawal,Hyderabad,0
61,49.21,Withdrawal,Chennai,0
62,31.66,Online Payment,Delhi,0
63,176.46,Transfer,Hyderabad,0
64,44.12,Transfer,Hyderabad,0
65,32.98,POS Purchase,Mumbai,0
66,78.24,POS Purchase,Hyderabad,0
67,15.19,Transfer,Delhi,0
68,162.05,Online Payment,Mumbai,0
69,7.75,Online Payment,Delhi,0
70,433.41,POS Purchase,Hyderabad,0
71,147.95,POS Purchase,Delhi,0
72,22.15,POS Purchase,Chennai,0
73,0.55,POS Purchase,Hyderabad,0
74,168.99,POS Purchase,Bangalore,0
75,122.71,Withdrawal,Bangalore,0
76,130.57,Transfer,Chennai,0
77,147.52,Transfer,Bangalore,0
78,7.69,POS Purchase,Bangalore,0
79,44.39,Transfer,Mumbai,0
80,12.32,Transfer,Delhi,0
81,198.85,Withdrawal,Hyderabad,0
82,97.63,Withdrawal,Bangalore,0
83,40.18,Online Payment,Hyderabad,0
84,6.57,Online Payment,Chennai,0
85,37.25,POS Purchase,Bangalore,0
86,39.33,Online Payment,Mumbai,0
87,130.79,POS Purchase,Hyderabad,1
88,101.49,Online Payment,Chennai,0
89,218.23,Transfer,Mumbai,0
90,63.91,Transfer,Delhi,0
91,12.74,Online Payment,Chennai,0
92,124.91,Transfer,Mumbai,0
93,143.04,Transfer,Hyderabad,0
94,82.39,POS Purchase,Mumbai,0
95,147.39,Transfer,Chennai,0
96,68.08,Online Payment,Delhi,0
97,73.97,Transfer,Delhi,0
98,55.78,POS Purchase,Chennai,0
99,2.57,Online Payment,Hyderabad,0
100,11.42,POS Purchase,Delhi,0
101,3.19,Transfer,Bangalore,0
102,101.17,Transfer,Bangalore,0
103,37.74,Transfer,Delhi,0
104,71.04,Withdrawal,Hyderabad,0
105,238.13,POS Purchase,Hyderabad,0
106,28.67,Online Payment,Hyderabad,0
107,52.83,Transfer,Hyderabad,0
108,140.87,Withdrawal,Hyderabad,0
109,25.98,Withdrawal,Mumbai,0
110,8.01,POS Purchase,Delhi,0
111,34.21,Transfer,Chennai,0
112,17.58,POS Purchase,Bangalore,0
113,265.5,Transfer,Delhi,0
114,165.09,Transfer,Bangalore,0
115,100.35,Transfer,Delhi,0
116,205.15,Withdrawal,Delhi,0
117,162.8,POS Purchase,Bangalore,0
118,20.65,POS Purchase,Hyderabad,0
